Categories,Year,Cash,Cards,Mobile app,Other
Day-to-day items,2019,0.5277403355211008,0.42633804347791066,0.006409047679971296,0.03951257332101727
Day-to-day items,2022,0.4692672703135485,0.4661067114502131,0.03681372767136208,0.027812290564876288
Durable goods,2019,0.25455133923686707,0.6610153757378786,0.028147278430203666,0.05628600659505072
Durable goods,2022,0.29805460897127556,0.5945444150727617,0.03738328707739884,0.07001768887856392
Restaurants and hotels,2019,0.6445264100799615,0.30715855564781425,0.014085539984409605,0.034229494287814674
Restaurants and hotels,2022,0.45787241902004017,0.4318773261088353,0.029671975881658128,0.08057827898946643
Vending machines,2019,0.5829559796869139,0.3262713632186141,0.0423987441058351,0.048373912988636865
Vending machines,2022,0.6228423919080208,0.2993090958002671,0.02734530539382899,0.05050320689788309
Petrol stations,2019,0.37878032742719925,0.594284844132327,0.010103121642909633,0.016831706797564155
Petrol stations,2022,0.41192130562414725,0.5393144627719424,0.02549686810510999,0.023267363498800313
Culture and sports ,2019,0.573509624228088,0.2767391308050513,0.007088919804501319,0.14266232516235933
Culture and sports ,2022,0.43048605606141244,0.33206401909493477,0.054486700962717974,0.18296322388093483
Other,2019,0.4109715347537953,0.31332283800343264,0.010151684396460794,0.26555394284631134
Other,2022,0.3567259322039803,0.3566715415415969,0.03886731113268414,0.24773521512173863
